title,description,text,date,language
Miami’s Bitcoin Conference Left a Trail of Harassment,"For some women, inappropriate conduct from other conference-goers continued to haunt them online.","Now, even though there are a number of women-focused crypto spaces, Odeniran says women are still underrepresented. Ive been in spaces where Im the only Black person, or the only woman, or the only B… [+3828 chars]",2022-05-10,en
Why fossil fuel companies see green in Bitcoin mining projects,ExxonMobil and other fossil fuel companies have turned to Bitcoin mining to address a gas problem. But their plans come with risks.,"A Bitcoin mining site powered by otherwise lost gas from an oil well near Linden, Texas, on April 4th, 2022. | Photo by FRANCOIS PICARD/AFP via Getty Images

 

 Of all the corporate climate hype fl… [+6544 chars]",2022-05-04,en
Warren Buffett Says He Wouldn't Take All the Bitcoin in the World for $25,Warren Buffett has always been a bitcoin skeptic. But the billionaire investor had his most harsh words yet for the cryptocurrency over the weekend. Buffett made it clear that his opposition to crypto has nothing to do with whether people can make money tradi…,Warren Buffett has always been a bitcoin skeptic. But the billionaire investor had his most harsh words yet for the cryptocurrency over the weekend. Buffett made it clear that his opposition to crypt… [+2297 chars],2022-05-02,en
"Luna Foundation Tried to Prop Up Terra’s Crumbling Base With Billions in Bitcoin, But It Still Failed","As a kid, I remember when my father tried to use a broom handle in a last ditch effort to support a roof that was collapsing from the weight of nearly three feet of snow. You can guess how well that went. In a similar vein, Terra blockchain reportedly spent $…","As a kid, I remember when my father tried to use a broom handle in a last ditch effort to support a roof that was collapsing from the weight of nearly three feet of snow. You can guess how well that … [+3390 chars]",2022-05-16,en
Bitcoin value drops by 50% since November peak,The slide in the value of cryptocurrencies comes as stock markets around the world have also fallen.,"Image source, Getty Images
The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (£27,630), according to the Coinbase cryptocurrency exchange.
The world's largest cryp… [+2164 chars]",2022-05-09,en
Fidelity Wants to Include Bitcoin in 401(k) Plans; Elizabeth Warren and the Labor Department Have Concerns,The nation's largest retirement plan provider is getting pushback for allowing investors to put a portion of their savings into cryptocurrency.,"If youve ever felt like introducing some Vegas-style odds into your retirement plan, youre finally in luck.
Last week, Fidelity Investments announced that it would allow investors to put part of the… [+3239 chars]",2022-05-05,en
US Treasury issues first-ever sanctions against a cryptocurrency mixer,"Cryptocurrency mixers are sometimes used to help online criminals launder their stolen money by hiding its true origins, and the US Treasury is now ready to clamp down on them when hostile governments are involved. The department has issued its first sanction…","Cryptocurrency mixers are sometimes used to help online criminals launder their stolen money by hiding its true origins, and the US Treasury is now ready to clamp down on them when hostile government… [+1432 chars]",2022-05-06,en
Cryptoverse: rising interest hurts Bitcoin - Reuters,"From Bitcoin's dramatic drop to a new way to pay for your luxury Gucci handbag, we round up the week's big stories in cryptocurrencies. Kristy Kilburn reports.","Posted 
From Bitcoin's dramatic drop to a new way to pay for your luxury Gucci handbag, we round up the week's big stories in cryptocurrencies. Kristy Kilburn reports.",2022-05-10,en
Bitcoin falls 7.2% to $28758 - Reuters.com,"Bitcoin fell 7.23% to $28,758.29 at 22:05 GMT on Wednesday, losing $2,241.68 from its previous close.","May 11 (Reuters) - Bitcoin fell 7.23% to $28,758.29 at 22:05 GMT on Wednesday, losing $2,241.68 from its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is down 40.4% fro… [+361 chars]",2022-05-11,en
Bitcoin last up 5.7% at $39862.84 - Reuters.com,"Bitcoin rose 5.7% to $39,862.84, on Wednesday, adding $2,102.94 to its previous close.","May 4 (Reuters) - Bitcoin rose 5.7% to $39,862.84, on Wednesday, adding $2,102.94 to its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is up 20.9% from the year's low o… [+337 chars]",2022-05-04,en
Bitcoin last down 5.1% at $38391.36 - Reuters.com,"Bitcoin dropped 5.1% to $38,391.36 on Tuesday, down $2,229.82 from its previous close.","April 26 (Reuters) - Bitcoin dropped 5.1% to $38,391.36 on Tuesday, down $2,229.82 from its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is up 16% from the year's low … [+339 chars]",2022-04-26,en
"Bitcoin, Ethereum Technical Analysis: BTC Slips to 10-Month Low, Below $33000 – Market Updates Bitcoin News - Bitcoin News","<ol><li>Bitcoin, Ethereum Technical Analysis: BTC Slips to 10-Month Low, Below $33000 – Market Updates Bitcoin News  Bitcoin News
</li><li>Bitcoin drops 50% from peak, near lowest levels in last one year  Economic Times
</li><li>Crypto Crash: Why is cryptoc…","BTC fell to its lowest level since last July, as prices dropped below $33,000 to start the week. The selloff in cryptocurrency started last week, following the Fed’s decision to hike interest rates b… [+2651 chars]",2022-05-09,en
Bitcoin falls 7.8% to $31333 - Reuters,"Bitcoin dropped 7.81% to $31,333.41 at 20:03 GMT on Monday, losing $2,655.98 from its previous close.","May 9 (Reuters) - Bitcoin dropped 7.81% to $31,333.41 at 20:03 GMT on Monday, losing $2,655.98 from its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is down 35% from t… [+351 chars]",2022-05-09,en
Terra’s Crypto Meltdown Was Inevitable,An epic crash in algorithmic stablecoins spells trouble for the entire industry.,"At a Mexican restaurant in North London a few weeks ago, a handful of small-time but remarkably discerning retail cryptocurrency investors predicted that terra and luna would crash. Several of them w… [+2779 chars]",2022-05-12,en
Cryptoverse: Buying the dip? Bitcoin's a rates rookie - Reuters,"Bitcoin has scant experience with rising interest rates, posing perils for investors looking to capitalize on its dramatic drop.","May 10 (Reuters) - Bitcoin has scant experience with rising interest rates, posing perils for investors looking to capitalize on its dramatic drop.
The cryptocurrency has tanked along with other ris… [+4315 chars]",2022-05-10,en
Central African Republic Passes Bill to Make Bitcoin Legal Tender - CNET,The nation is the second in line to make bitcoin a form of legal payment.,"The Central African Republic has adopted bitcoin as legal tender, making it the second nation in the world -- after El Salvador -- to do so. On Wednesday, President Faustin Archange Touadera's office… [+1078 chars]",2022-04-27,en
"After Luna Collapse, Terra Looks to New Blockchain. This Week's Top Bitcoin and Crypto News - CNET","All the bitcoin, cryptocurrency and NFT news for the week ending May 20.","After two linked cryptocurrencies collapsed and became almost worthless, a plan emerged to create a new blockchain for the luna cryptocurrency. Seth Green's NFTs were stolen in a phishing scam. Nike … [+3932 chars]",2022-05-21,en
"Bitcoin Has No Future as a Payments Network, Says FTX Chief","Bitcoin has no future as a payments network because of its inefficiency and high environmental costs, according to one of crypto's most influential chief executives. From a report: Sam Bankman-Fried, founder of the digital asset exchange FTX, said the proof o…","Sam Bankman-Fried, founder of the digital asset exchange FTX, said the proof of work system of validating blockchain transactions, which underpins bitcoin, was not capable of scaling up to cope with … [+1063 chars]",2022-05-16,en
Crypto is starting to lose its cool – just look at El Salvador | Rowan Moore,"Fantasies of a Bitcoin City have been undermined by the country’s huge losses in cryptocurrencyTo its evangelists, bitcoin is a frictionless, empowering form of money that liberates citizens of the world from the shackles of banks and national governments. To…","To its evangelists, bitcoin is a frictionless, empowering form of money that liberates citizens of the world from the shackles of banks and national governments. To sceptics, the cryptocurrency is a … [+3587 chars]",2022-05-21,en
Bitcoin crash erases $36 million in value from El Salvador government's massive crypto investment as national debt grows,El Salvador became the first country to make bitcoin legal tender in September despite multiple warnings from financial institutions.,"El Salvador which became the first country to make bitcoin legal tender in September has lost $36 million in cryptocurrency as bitcoin plummeted over 50% from its all-time high on Thursday. 
Preside… [+2209 chars]",2022-05-13,en
