title,description,text,date,language
What is Blockchain: Everything You Need to Know (2022),"<table><tr><td></td></tr><tr><td></td></tr>
</table>If you want to pay online, you need to register an account and provide credit card information. If you don't have a credit card, you can pay with bank transfer. With the rise of cryptocurrencies, these meth…","If you want to pay online, you need to register an account and provide credit card information. If you don't have a credit card, you can pay with bank transfer. With the rise of cryptocurrencies, the… [+8836 chars]",2022-04-18,en
How Bored Ape Yacht Club Broke Ethereum - CNET,"Transactions stalled for hours, and people paid thousands in fees whether their purchase succeeded or not.","When Bored Ape Yacht Club creators Yuga Labs announced its Otherside NFT collection would launch on April 30, it was predicted by many to be the biggest NFT launch ever. Otherside is an upcoming Bore… [+6669 chars]",2022-05-04,en
Yuga Labs apologises after sale of virtual land crashes Ethereum,Demand for plots of land in multiplayer game Otherside was so high it overwhelmed the Ethereum blockchainA multi-billion dollar cryptocurrency company has apologised to users after its sale of “metaverse land” sparked a frenzy that temporarily brought down th…,"A multi-billion dollar cryptocurrency company has apologised to users after its sale of metaverse land sparked a frenzy that temporarily brought down the Ethereum cryptocurrency.
Yuga Labs, the comp… [+3475 chars]",2022-05-02,en
What is the Ethereum merge and how could it make crypto greener?,Ethereum is preparing for an upgrade that’s been described as “the single most important event in crypto history.” The transition would overhaul the infrastructure of the world’s second-largest blockchain. Analysts predict the changes could cut the network’s …,"Ethereum is preparing for an upgrade thats been described as the single most important event in crypto history.
The transition would overhaul the infrastructure of the worlds second-largest blockcha… [+2824 chars]",2022-04-26,en
Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower - NextAdvisor,"<ol><li>Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower  NextAdvisor
</li><li>Does the cryptocurrency crash pose a threat to the financial system?  Financial Post
</li><li>Going ‘To Zero’—Panic Is Sweeping…",Editorial IndependenceWe want to help you make more informed decisions. Some links on this page clearly marked may take you to a partner website and may result in us earning a referral commission. Fo… [+6022 chars],2022-05-09,en
Stablecoins are struggling to survive the crypto crash,"After the Terra stablecoin broke its dollar peg and dropped to less than 30 cents, investors have been watching closely for repercussions across cryptocurrency markets.","Once pegged to the dollar, Terras UST coin is now trading at 40 cents
Illustration by Alex Castro
Its been a crushing few days for the Terra project, in a week that has been unforgiving for cryptoc… [+4159 chars]",2022-05-12,en
Can Social Media Be Redeemed?,WIRED’s spiritual advice columnist on Jack Dorsey’s remorse for his role in creating a centralized internet and what it signals for the rest of us.,"I read that Jack Dorsey, a cofounder of Twitter, claims to regret his role in creating the centralized internet. Given what we know about the divisiveness, violence, and misinformation that social me… [+7774 chars]",2022-05-11,en
AMD and web 3 firms launch $7M contest for zero-knowledge cryptography,"A coalition of 22 leading zero-knowledge technology companies, foundations, and funds including Advanced Micro Devices, Aleo, Anoma, the Ethereum Foundation, Matter Labs, Mina Protocol, Polkadot Pioneers Prize, and Polygon have launched a contest to advance t…","We are excited to bring Transform 2022 back in-person July 19 and virtually July 20 - 28. Join AI and data leaders for insightful talks and exciting networking opportunities. Register today!
A coali… [+7528 chars]",2022-04-20,en
How the BAYC metaverse mint raised Ethereum gas fees to thousands of dollars,"If you ever wanted to buy an NFT based on Ethereum, you would have to pay a transaction fee to register it on the blockchain. Last week, that fee skyrocketed to unprecedented levels. So you might have had to pay thousands of dollars as fees to get an NFT that…","If you ever wanted to buy an NFT based on Ethereum, you would have to pay a transaction fee to register it on the blockchain. Last week, that fee skyrocketed to unprecedented levels.
So you might ha… [+7216 chars]",2022-05-02,en
Bitcoin value drops by 50% since November peak,The slide in the value of cryptocurrencies comes as stock markets around the world have also fallen.,"Image source, Getty Images
The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (£27,630), according to the Coinbase cryptocurrency exchange.
The world's largest cryp… [+2164 chars]",2022-05-09,en
How to be Smarter About Developing Smart Contracts in Solidity in 2022?,Digital transformation is disrupting global businesses. The legal industry must consider digital technologies to keep changing tech trends. Blockchain-based smart contracts are one example of such technology. Digital transformation is a process that involves …,Digital transformation is disrupting global businesses. The legal industry must consider digital technologies to keep changing tech trends. Blockchain-based smart contracts are one example of such te… [+8816 chars],2022-04-18,en
Trademark and copyright considerations for NFTs - Reuters,"NFTs are getting a lot of hype today, but many people do not know what they are or understand how they function.","The company and law firm names shown above are generated automatically based on the text of the article. We are improving this feature as we continue to test and develop in beta. We welcome feedback,… [+7630 chars]",2022-05-02,en
Understanding web3: The new version of the web that works on blockchain,Supporters of web3 call it a democratic version of the internet where you own your own data.,"If its advocates are to be believed, web3 is freedom, democracy, and ownership an idealistic version of the web built for users. Theoretically, they're not wrong. Web3 is still in development, a few … [+8362 chars]",2022-04-28,en
2 surprising uses of blockchain that could change the world,"By now, we all know the most known use of blockchain technology: cryptocurrency. Of course, this isn’t all there is though. In 2022, we’ve seen NFTs (non-fungible tokens that are part of the Ethereum blockchain) capture the public’s imagination — but outside …","By now, we all know the most known use of blockchain technology: cryptocurrency.
Of course, this isnt all there is though. In 2022, weve seen NFTs (non-fungible tokens that are part of the Ethereum … [+3811 chars]",2022-04-22,en
"Coinbase NFT is already operating, the marketplace that aims to democratize investment in non-fungible digital tokens",Coinbase announced the launch of the beta version of the platform where NFTs from collections such as Cool Cats and World of Women can be purchased.,"Despite the fury that seems to exist around NFTs (non-fungible tokens, that is, cryptographic assets that represent something unique), during this 2022 the market has slowed down. On OpenSea, one of … [+2323 chars]",2022-04-20,en
