title,description,text,date,language
Why fossil fuel companies see green in Bitcoin mining projects,ExxonMobil and other fossil fuel companies have turned to Bitcoin mining to address a gas problem. But their plans come with risks.,"A Bitcoin mining site powered by otherwise lost gas from an oil well near Linden, Texas, on April 4th, 2022. | Photo by FRANCOIS PICARD/AFP via Getty Images

 

 Of all the corporate climate hype fl… [+6544 chars]",2022-05-04,en
What is Blockchain: Everything You Need to Know (2022),"<table><tr><td></td></tr><tr><td></td></tr>
</table>If you want to pay online, you need to register an account and provide credit card information. If you don't have a credit card, you can pay with bank transfer. With the rise of cryptocurrencies, these meth…","If you want to pay online, you need to register an account and provide credit card information. If you don't have a credit card, you can pay with bank transfer. With the rise of cryptocurrencies, the… [+8836 chars]",2022-04-18,en
Bitcoin value drops by 50% since November peak,The slide in the value of cryptocurrencies comes as stock markets around the world have also fallen.,"Image source, Getty Images
The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (£27,630), according to the Coinbase cryptocurrency exchange.
The world's largest cryp… [+2164 chars]",2022-05-09,en
Factbox: U.S. companies and their cryptocurrency holdings - Reuters.com,"A meltdown in one of the world's largest stablecoins, TerraUSD, sent shockwaves through cryptocurrency markets on Thursday, wiping out bitcoin's 2021 gains and sending it to a 16-month low. <a href=""/markets/us/bitcoin-falls-16-month-low-2022-05-12/""> read mo…","May 12 (Reuters) - A meltdown in one of the world's largest stablecoins, TerraUSD, sent shockwaves through cryptocurrency markets on Thursday, wiping out bitcoin's 2021 gains and sending it to a 16-m… [+519 chars]",2022-05-12,en
The Top 12 Blockchain Speakers for 2022,What’s happening in the blockchain industry this year? How will Bitcoin react to the return of inflation? What can cryptocurrencies offer banking? And what is the future for NFTs and the Metaverse? All these questions — and more — will determine the future of…,"Whats happening in the blockchain industry this year? How will Bitcoin react to the return of inflation? What can cryptocurrencies offer banking? And what is the future for NFTs and the Metaverse?
A… [+5681 chars]",2022-04-26,en
The Top 12 Blockchain Speakers for 2022,What’s happening in the blockchain industry this year? How will Bitcoin react to the return of inflation? What can cryptocurrencies offer banking? And what is the future for NFTs and the Metaverse? All these questions — and more — will determine the future of…,"Whats happening in the blockchain industry this year? How will Bitcoin react to the return of inflation? What can cryptocurrencies offer banking? And what is the future for NFTs and the Metaverse?
A… [+5681 chars]",2022-04-26,en
Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower - NextAdvisor,"<ol><li>Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower  NextAdvisor
</li><li>Does the cryptocurrency crash pose a threat to the financial system?  Financial Post
</li><li>Going ‘To Zero’—Panic Is Sweeping…",Editorial IndependenceWe want to help you make more informed decisions. Some links on this page clearly marked may take you to a partner website and may result in us earning a referral commission. Fo… [+6022 chars],2022-05-09,en
Block swings to quarterly loss as bitcoin boost fades - Reuters.com,"Block Inc <a href=""https://www.reuters.com/companies/SQ.N"" target=""_blank"">(SQ.N)</a>, the payments company led by Jack Dorsey, on Thursday reported a loss for the first quarter as demand for bitcoin softened due to a decline in cryptocurrency prices.","May 5 (Reuters) - Block Inc (SQ.N), the payments company led by Jack Dorsey, on Thursday reported a loss for the first quarter as demand for bitcoin softened due to a decline in cryptocurrency prices… [+635 chars]",2022-05-05,en
Bitcoin's African outpost raises several red flags - Reuters,"Bitcoin’s latest fans are about as far as you can get from Silicon Valley crypto bros. War-torn Central African Republic (CAR) on Wednesday adopted the digital currency as legal tender <a href=""/world/africa/central-african-republic-adopts-bitcoin-an-official…","LONDON, May 2 (Reuters Breakingviews) - Bitcoins latest fans are about as far as you can get from Silicon Valley crypto bros. War-torn Central African Republic (CAR) on Wednesday adopted the digital … [+3464 chars]",2022-05-03,en
The technological disruption of bitcoin,Bitcoin is an example of how tech could transform the global financial system and represent an alternative to the storage of economic value.,"We are excited to bring Transform 2022 back in-person July 19 and virtually July 20 - 28. Join AI and data leaders for insightful talks and exciting networking opportunities. Register today!
Some te… [+6394 chars]",2022-04-20,en
Coinbase is conjoined to crypto - Reuters,"Coinbase Global <a href=""https://www.reuters.com/companies/COIN.O"" target=""_blank"">(COIN.O)</a> went for a ride when digital collectibles like Bitcoin soared. The excitement meant more customers, rising trading volumes and rocketing fees. Last year’s revenue …","NEW YORK, May 11 (Reuters Breakingviews) - Coinbase Global (COIN.O) went for a ride when digital collectibles like Bitcoin soared. The excitement meant more customers, rising trading volumes and rock… [+1726 chars]",2022-05-11,en
